사업장명,소재지지번주소,소재지도로명주소,위도,경도
RESHAPE(리쉐입),경기도 성남시 분당구 금곡동 206번지 대덕프라자2 203호,"경기도 성남시 분당구 정자일로 25, 203호 (금곡동, 대덕프라자2)",37.3523093,127.1056013
커브스동판교클럽,경기도 성남시 분당구 삼평동 708번지 601호,"경기도 성남시 분당구 판교로 375, 601호 (삼평동)",37.4043337,127.1155436
Lean Body Fit,경기도 성남시 분당구 삼평동 682번지 유스페이스2 A동 B113호,"경기도 성남시 분당구 대왕판교로 670, 유스페이스2 A동 B113호 (삼평동)",37.4021073,127.1067535
켄휘트니스,경기도 성남시 분당구 금곡동 201 코오롱더프라우 306~310호,"경기도 성남시 분당구 정자일로 27, 306~310호 (금곡동, 코오롱더프라우)",37.35298084,127.1049943
더라스트 휘트니스,경기도 성남시 분당구 구미동 203-2 진도훼미리프라자 501호,"경기도 성남시 분당구 미금로 45, 501호 (구미동,진도훼미리프라자)",37.33736827,127.1157667
exHolic 야탑점,경기도 성남시 분당구 야탑동 367-4번지 세신옴니코아빌딩 10층 1001호,"경기도 성남시 분당구 야탑로 95 (야탑동,세신옴니코아빌딩 10층 1001호)",37.4100863,127.1292421
판교특공무술,"경기도 성남시 분당구 백현동 552번지 로제비앙스퀘어 601,2호","경기도 성남시 분당구 동판교로 55, 601,602호 (백현동, 로제비앙스퀘어)",37.3881705,127.1146274
머슬짐 프리미엄,경기도 성남시 분당구 서현동 249-4 유성그린빌딩 ,"경기도 성남시 분당구 황새울로342번길 19, 유성그린빌딩 6층 (서현동)",37.38662013,127.1242815
휘트니스 온,경기도 성남시 분당구 구미동 156 포스빌 B157호,"경기도 성남시 분당구 성남대로 51, 지하1층 157호 (구미동, 포스빌)",37.34050694,127.1080852
S fit(에스핏),경기도 성남시 분당구 야탑동 366-1번지,"경기도 성남시 분당구 성남대로916번길 5, 705호 (야탑동, 관보골든쇼핑스포츠빌딩)",37.4115543,127.1298206
크로스핏 판교 아브뉴,경기도 성남시 분당구 삼평동 740 판교 호반 써밋 플레이스 B103호,"경기도 성남시 분당구 동판교로177번길 25, 지하1층 B103호 (삼평동, 판교 호반 써밋 플레이스)",37.39732096,127.1135515
스파밸리골프크럽체력단련장,경기도 성남시 분당구 율동 323-23번지,경기도 성남시 분당구 문정로 134  (율동),37.3816694,127.1517086
수내점 스포애니 주)케이디스포츠,경기도 성남시 분당구 수내동 79-2 현대프라자 지하1층 53호~72호 ,"경기도 성남시 분당구 돌마로 364 (수내동, 현대프라자 지하1층 53호~72호)",37.36998766,127.123653
커브스서현클럽,"경기도 성남시 분당구 서현동 298-3 효자촌프라자 308, 309호 ","경기도 성남시 분당구 돌마로 478 (서현동,효자촌프라자 308, 309호)",37.37699514,127.1334558
해피짐,경기도 성남시 분당구 야탑동 358-2번지 분당아미고타워 지하1층 110호,"경기도 성남시 분당구 야탑로81번길 10, 지하1층 110호 (야탑동, 분당아미고타워)",37.41055603,127.1281586
